DatosMinDatos_Sexo,DatosMinDatos_Zona,DatosMinDatos_Departamento,DatosMinDatos_Etario,DatosMinDatos_Grupo,DatosMinDatos_No_carente,DatosMinDatos_Valor,DatosMinDatos_Total,DatosMinDatos_Proporción,DatosMinDatos_Variable,DatosMinDatos_ID,DatosMinDatos_Nombre_dpto
Hombre,Rural,5,Menor,Colombiana,108450,99893,208343,0.479466076075875,Hacinamiento,678,Antioquia
Hombre,Rural,5,Menor,Colombiana,118112,90231,208343,0.43308832525474,Sin sanitario,4918,Antioquia
Hombre,Rural,5,Menor,Colombiana,138852,69491,208343,0.333541179898762,Sin combustible adecuado para cocinar,144,Antioquia
Hombre,Rural,5,Menor,Colombiana,169486,38857,208343,0.186504030209061,Sin refrigerador,4384,Antioquia
Hombre,Rural,5,Menor,Colombiana,176145,32198,208343,0.154541561049461,Sin pisos duraderos,5986,Antioquia
Hombre,Rural,5,Menor,Colombiana,188163,20180,208343,0.0968589313793868,Sin espacio exclusivo para la cocina,3316,Antioquia
Hombre,Rural,5,Menor,Colombiana,200272,8070,208343,0.0387364256761657,Sin paredes duraderas,6520,Antioquia
Hombre,Rural,5,Menor,Colombiana,206382,1961,208343,0.00941346230411909,Sin electricidad,5452,Antioquia
Hombre,Rural,5,Menor,Venezolana,586,2095,2681,0.781503840621662,Hacinamiento,679,Antioquia
Hombre,Rural,5,Menor,Venezolana,717,1964,2681,0.732471381847915,Sin internet,3851,Antioquia
Hombre,Rural,5,Menor,Venezolana,1116,0,1116,0,Sin suministro continuo de agua,2281,Antioquia
Hombre,Rural,5,Menor,Venezolana,1116,1565,2681,0.583859914294752,Sin acueducto,1747,Antioquia
Hombre,Rural,5,Menor,Venezolana,1116,1565,2681,0.583859914294752,Sin alcantarillado,2783,Antioquia
Hombre,Rural,5,Menor,Venezolana,1116,1565,2681,0.583859914294752,Sin recogida de basuras,1213,Antioquia
Hombre,Rural,5,Menor,Venezolana,1565,1116,2681,0.416140272215624,Sin refrigerador,4385,Antioquia
Hombre,Rural,5,Menor,Venezolana,1651,1029,2681,0.383977490435748,Sin sanitario,4919,Antioquia
Hombre,Rural,5,Menor,Venezolana,2145,536,2681,0.199882375366306,Sin espacio exclusivo para la cocina,3317,Antioquia
Hombre,Rural,5,Menor,Venezolana,2493,187,2681,0.0698847571038072,Sin combustible adecuado para cocinar,145,Antioquia
Hombre,Rural,5,Menor,Venezolana,2681,0,2681,0,Sin electricidad,5453,Antioquia
Hombre,Rural,5,Menor,Venezolana,2681,0,2681,0,Sin paredes duraderas,6521,Antioquia
Hombre,Rural,5,Menor,Venezolana,2681,0,2681,0,Sin pisos duraderos,5987,Antioquia
Hombre,Rural,8,Mayor,Colombiana,1408,84993,86401,0.983709047794972,Sin alcantarillado,2790,Atlántico
Hombre,Rural,8,Mayor,Colombiana,5318,81083,86401,0.938452480488589,Sin internet,3858,Atlántico
Hombre,Rural,8,Mayor,Colombiana,24182,44012,68194,0.645390200922457,Sin suministro continuo de agua,2287,Atlántico
Hombre,Rural,8,Mayor,Colombiana,53043,33358,86401,0.386081273396796,Sin espacio exclusivo para la cocina,3324,Atlántico
Hombre,Rural,8,Mayor,Colombiana,53490,32911,86401,0.380913260908011,Hacinamiento,686,Atlántico
Hombre,Rural,8,Mayor,Colombiana,55086,31315,86401,0.362435752850208,Sin recogida de basuras,1220,Atlántico
Hombre,Rural,8,Mayor,Colombiana,62404,23997,86401,0.277735532759449,Sin combustible adecuado para cocinar,152,Atlántico
Hombre,Rural,8,Mayor,Colombiana,68194,18207,86401,0.210724517110506,Sin acueducto,1754,Atlántico
Hombre,Rural,8,Mayor,Colombiana,69881,16520,86401,0.191199679817483,Sin refrigerador,4392,Atlántico
Hombre,Rural,8,Mayor,Colombiana,73732,3034,76766,0.0395249646782168,Sin empleo,7045,Atlántico
Hombre,Rural,8,Mayor,Colombiana,79387,7013,86401,0.0811714069049425,Sin sanitario,4926,Atlántico
Hombre,Rural,8,Mayor,Colombiana,84334,2066,86401,0.0239158076460474,Sin electricidad,5460,Atlántico
Hombre,Rural,8,Mayor,Colombiana,84872,1529,86401,0.0176960793845236,Sin pisos duraderos,5994,Atlántico
Hombre,Rural,8,Mayor,Colombiana,85952,449,86401,0.00519818932064455,Sin paredes duraderas,6528,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875,4875,1,Sin alcantarillado,2791,Atlántico
Hombre,Rural,8,Mayor,Retornada,0,4875,4875,1,Sin internet,3859,Atlántico
Hombre,Rural,8,Mayor,Retornada,1069,1653,2722,0.607220136514384,Sin suministro continuo de agua,2288,Atlántico
Hombre,Rural,8,Mayor,Retornada,1216,3659,4875,0.750555017102301,Sin recogida de basuras,1221,Atlántico
Hombre,Rural,8,Mayor,Retornada,1620,3255,4875,0.66763711327518,Sin espacio exclusivo para la cocina,3325,Atlántico
Hombre,Rural,8,Mayor,Retornada,2258,2617,4875,0.53686620205843,Hacinamiento,687,Atlántico
Hombre,Rural,8,Mayor,Retornada,2569,2306,4875,0.473094321625821,Sin refrigerador,4393,Atlántico
Hombre,Rural,8,Mayor,Retornada,2722,2153,4875,0.441547627472398,Sin acueducto,1755,Atlántico
Hombre,Rural,8,Mayor,Retornada,2748,2127,4875,0.43639954257114,Sin combustible adecuado para cocinar,153,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465,410,4875,0.0840195402122019,Sin paredes duraderas,6529,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465,410,4875,0.0840195402122019,Sin pisos duraderos,5995,Atlántico
Hombre,Rural,8,Mayor,Retornada,4465,410,4875,0.0840195402122019,Sin sanitario,4927,Atlántico
Hombre,Rural,8,Mayor,Retornada,4670,0,4670,0,Sin empleo,7046,Atlántico
Hombre,Rural,8,Mayor,Retornada,4875,0,4875,0,Sin electricidad,5461,Atlántico
Hombre,Rural,8,Mayor,Venezolana,0,7172,7172,1,Sin internet,3860,Atlántico
Hombre,Rural,8,Mayor,Venezolana,1376,5796,7172,0.808127718542704,Sin alcantarillado,2792,Atlántico
Hombre,Rural,8,Mayor,Venezolana,2755,4417,7172,0.615833673880979,Sin refrigerador,4394,Atlántico
Hombre,Rural,8,Mayor,Venezolana,2767,3084,5851,0.527102431588086,Sin suministro continuo de agua,2289,Atlántico
Hombre,Rural,8,Mayor,Venezolana,3049,4124,7172,0.57494258094821,Sin espacio exclusivo para la cocina,3326,Atlántico
Hombre,Rural,8,Mayor,Venezolana,3750,3422,7172,0.477165321834604,Hacinamiento,688,Atlántico
Hombre,Rural,8,Mayor,Venezolana,4681,2491,7172,0.347359155837809,Sin recogida de basuras,1222,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5307,1865,7172,0.260011089932324,Sin combustible adecuado para cocinar,154,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5798,1374,7172,0.191556481900921,Sin sanitario,4928,Atlántico
Hombre,Rural,8,Mayor,Venezolana,5851,1321,7172,0.184174649842428,Sin acueducto,1756,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6790,0,6790,0,Sin empleo,7047,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6900,272,7172,0.0379415501728811,Sin electricidad,5462,Atlántico
Hombre,Rural,8,Mayor,Venezolana,6949,223,7172,0.0310730687672008,Sin pisos duraderos,5996,Atlántico
Hombre,Rural,8,Mayor,Venezolana,7172,0,7172,0,Sin paredes duraderas,6530,Atlántico
Hombre,Rural,8,Menor,Colombiana,0,46162,46162,1,Sin alcantarillado,2787,Atlántico
Hombre,Rural,8,Menor,Colombiana,406,0,406,0,Sin empleo,7044,Atlántico
Hombre,Rural,8,Menor,Colombiana,1571,44592,46162,0.965972329482227,Sin internet,3855,Atlántico
Hombre,Rural,8,Menor,Colombiana,12611,27351,39963,0.68442729115817,Sin suministro continuo de agua,2285,Atlántico
Hombre,Rural,8,Menor,Colombiana,20095,26067,46162,0.564686610276006,Hacinamiento,683,Atlántico
Hombre,Rural,8,Menor,Colombiana,27931,18231,46162,0.394937318155931,Sin espacio exclusivo para la cocina,3321,Atlántico
Hombre,Rural,8,Menor,Colombiana,31456,14706,46162,0.318570986963658,Sin recogida de basuras,1217,Atlántico
Hombre,Rural,8,Menor,Colombiana,33180,12983,46162,0.28123656241247,Sin combustible adecuado para cocinar,149,Atlántico
Hombre,Rural,8,Menor,Colombiana,37299,8864,46162,0.192007775143845,Sin refrigerador,4389,Atlántico
Hombre,Rural,8,Menor,Colombiana,39963,6200,46162,0.134307226494931,Sin acueducto,1751,Atlántico
Hombre,Rural,8,Menor,Colombiana,40639,5524,46162,0.119664038919911,Sin sanitario,4923,Atlántico
Hombre,Rural,8,Menor,Colombiana,44517,1645,46162,0.0356424014389172,Sin electricidad,5457,Atlántico
Hombre,Rural,8,Menor,Colombiana,45929,233,46162,0.0050481390410266,Sin paredes duraderas,6525,Atlántico
Hombre,Rural,8,Menor,Colombiana,45973,189,46162,0.00410280623943812,Sin pisos duraderos,5991,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508,508,1,Sin acueducto,1752,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508,508,1,Sin alcantarillado,2788,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508,508,1,Sin combustible adecuado para cocinar,150,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508,508,1,Sin espacio exclusivo para la cocina,3322,Atlántico
Hombre,Rural,8,Menor,Retornada,0,508,508,1,Sin internet,3856,Atlántico
